collection,name,description,image_url,owner,twitter_username,contracts
phygitals-4,Phygitals,,,0x86fa6a4cb1bc9f5bb0d0824ba25f9065436eed70,,"[{'address': '0x1e3271565bdf6acae1db2230ce378d287a46f897', 'chain': 'ethereum'}]"
ribbon-fund-nft,ribbon.fund NFT,,,0x75da44d23ff5d78a8b327d6b982f4e736e14424f,,"[{'address': '0x8ae03084b8465fc7c66b36289b76d56947946214', 'chain': 'ethereum'}]"
solaris-11,Solaris,,,0xf5a2c03f6d57f99679cc2202b1795548599c867a,,"[{'address': '0xb84c6f6a2d27640ece8cb44ba866c94e680db2f9', 'chain': 'ethereum'}]"
ang-00,ANG,"Ape, eyes ""white"" shut !",https://i.seadn.io/s/raw/files/daee048d6af235ca8191263032618715.jpg?w=500&auto=format,0x1d2cdf991183b991e400663fb9e9fd1f98b8cf64,,"[{'address': '0x1c2d975a378c6640c3b6db00bb849418d848ff5f', 'chain': 'ethereum'}]"
fairy-magic-2,fairy.magic,,,0x0b9672b70f72b505b576440834702b7c208e0c60,,"[{'address': '0xe661047d0fa4c7ee829242b20ed2b01f973b927f', 'chain': 'ethereum'}]"
fairy-magic-1,fairy.magic,,,0x0b9672b70f72b505b576440834702b7c208e0c60,,"[{'address': '0x5a875a287ddd04ecd2470c53beb648f1559be70d', 'chain': 'ethereum'}]"
kido-hito-collection,Kido Hito Collection,,,0x4c5a86e3ffbd300629108e00fe7528fae7e34aa0,,"[{'address': '0xab55fc26fb5a8caf15eba62834f1ead458e88aca', 'chain': 'ethereum'}]"
payout-pursuit-event-cars-1,Payout Pursuit Event Cars,,,0xc2a47c9bd6b75832c6ec74be4338158b43ebad13,,"[{'address': '0x091450406dcc788e2b41bbd211f9efa65c75db98', 'chain': 'ethereum'}]"
rumeurs-douces,RUMEURS DOUCES,charley james en studio de musique,https://i.seadn.io/s/raw/files/ce73e1da6fb391ffa89dab433b9be36e.jpg?w=500&auto=format,0x5257d0168b0a4e106a2bdd760a3d5d69423c44fd,,"[{'address': '0x4e3f2270671560c6fd6e46c302c1266a6267f986', 'chain': 'ethereum'}]"
space-king-2,Space King,"Bienvenido a ""Space King"", una colección de NFTs que te lleva en un viaje cósmico a través de reinos estelares y galaxias desconocidas. Cada pieza en esta serie representa un fragmento del vasto universo, fusionando arte digital con conceptos astronómicos para crear un espectáculo visual único. Desde planetas distantes y nebulosas vibrantes hasta reyes cósmicos que gobiernan galaxias lejanas, ""Space King"" explora la majestuosidad del cosmos a través de una lente creativa y audaz.

Esta colección es para visionarios, soñadores y amantes del espacio, ofreciendo una visión artística del infinito. Cada NFT no solo es una obra de arte, sino también un portal a un universo donde la imaginación y la realidad se encuentran en la frontera final. Sumérgete en ""Space King"" y reclama tu trono en el cosmos.",,0x7c63f0acfcbe83338a2b72af8dbc891be336a01b,,"[{'address': '0xcf8f46346315bb9c94bcac223453725ce79334c9', 'chain': 'ethereum'}]"
flatland-1,Flatland,,,0x89b40b687dc40853fae57bf3692a08e89a4eda70,,"[{'address': '0x50eeb7a484911c32e578e9262fda6ecc9e827650', 'chain': 'ethereum'}]"
cyberpunk-themed-artwork,Cyberpunk-themed artwork,,https://i.seadn.io/s/raw/files/4982a0ea0f6da4b4e22a71260fe6eacb.jpg?w=500&auto=format,0x225f4090ddc4d8fd95c17d2a62433cd7bf43b456,,"[{'address': '0x5dde50e48d11b7545bab1269baa50eb41924e3be', 'chain': 'ethereum'}]"
ethena-fund,Ethena.fund,,,0x3cf233436b58a64b6c01c2f034e798f6d9eaabab,,"[{'address': '0xb705fcde1eba07bbc4ce4560500390af7a5ac391', 'chain': 'ethereum'}]"
an-innocent-man,An Innocent Man,,,0x38e23cea342deea0744a4f68780053f347b8bfa6,,"[{'address': '0xc6ddc62891b69575dfe64ec12dd492d57f2139f9', 'chain': 'ethereum'}]"
fears-from-an-evilbeetle,Fears from an EvilBeetle,,,0x14b9976d9a3fc9061e0f8d9245c341b9e40f4ce2,,"[{'address': '0xff42127e40559403a27f787e4f50cde9214047a6', 'chain': 'ethereum'}]"
trial-of-the-century,Trial of the Century,,,0x38e23cea342deea0744a4f68780053f347b8bfa6,,"[{'address': '0xec9eee58e528770a07b4d0a350f8388d3c078922', 'chain': 'ethereum'}]"
pacifiction-a-thousand-years,PACIFICTION: A Thousand Years,,,0x85b25d05a356cb8e17bccb4af0d5773e22c46bd6,,"[{'address': '0xe61614af5c2e19fa49374dc19ce7ca064ee53367', 'chain': 'ethereum'}]"
foggy-night-1,Foggy night,,https://i.seadn.io/s/raw/files/29f9cf8c8844c999409d9aace6b9291e.jpg?w=500&auto=format,0x62eb659b00faa9279a5e5209052ef73db1ede90a,,"[{'address': '0xe6b50b1a9cc0ff9a8b5e2de02be942e6119272b5', 'chain': 'ethereum'}]"
pepe-community-web3-frens,Pepe Community Web3 Frens,"Pepe Community Web3 Frens

Pepe Community ""0xBE""  Established Aug 24, 2023.  
Tribute Original Artist, Matt Furie.  ""Pepe the Frog""  ",https://i.seadn.io/s/raw/files/5a8786424c61af48fc8e84c552f0fee8.jpg?w=500&auto=format,0xff7249cb0df3cd41e3aaef5ecf8ac9e54fd53879,xxDTECHxx,"[{'address': '0x01b1aaf45c0948b5b6181f83eefc0e13ec1d2699', 'chain': 'ethereum'}]"
crypto365-2,Crypto365,northern lights,https://i.seadn.io/s/raw/files/7489e46c17114da9ad8d939f00fec583.webp?w=500&auto=format,0x3381d9906856be3dce9d0e8ec25371d9abf3481e,,"[{'address': '0xb8d5cf0be59a949a83ab858c9425edb5c093ca2d', 'chain': 'ethereum'}]"
crypto365-1,Crypto365,,,0x3381d9906856be3dce9d0e8ec25371d9abf3481e,,"[{'address': '0x751369ebd051b8aa1021bcb99e28f64183458cec', 'chain': 'ethereum'}]"
original-tarot-card,original tarot card,"These tarot cards are limited to the first production run.
We have 100 of each available, so purchase early!
No additional sales are planned.
",https://i.seadn.io/s/raw/files/5eaf219f57c2fa790ccf2e3025b5365d.jpg?w=500&auto=format,0xed3e0c287a880bbfcf18218cff0702e6e71ce3eb,,"[{'address': '0xf388c7ded7260d26d46ca098984aa71085beb548', 'chain': 'ethereum'}]"
servedbynft-com,servedbynft.com,,https://i.seadn.io/s/raw/files/613131b6321bcb16fd187c1ce5f171bb.jpg?w=500&auto=format,0x7085ebf5623417e2ae4f92a5426104fa48b9356f,,"[{'address': '0x4f2b426015116bc4b81f70a1efbe886ce860cbed', 'chain': 'ethereum'}]"
rt1-4,RT1,f1 80085,https://i.seadn.io/s/raw/files/9d941dacea1dbf8b9ce974d1034a5dba.png?w=500&auto=format,0xf519816d164a3ca1d35cbe9dd4e9211592685353,,"[{'address': '0x603c0b0f8b5871b24d0ae2049eb73140fb0cff70', 'chain': 'ethereum'}]"
pepe-community-web3-series-1,Pepe Community Web3 Series 1,"Pepe Community Web3 Series 1 

Pepe Community ""0xBE""  Established Aug 24, 2023.  
Tribute Original Artist, Matt Furie.  ""Pepe the Frog""  
",https://i.seadn.io/s/raw/files/5a8786424c61af48fc8e84c552f0fee8.jpg?w=500&auto=format,0xff7249cb0df3cd41e3aaef5ecf8ac9e54fd53879,,"[{'address': '0x3a8927d0edd8860afebeabf8137c92bdd14c2fd1', 'chain': 'ethereum'}]"
kim-da-eum-1,Kim Da-eum,,,0xe41bfeb25a6310ab03e9d6b9139b35c639741624,,"[{'address': '0x9bcbaefa8075565b4bda4d4890f1563ca4e7c083', 'chain': 'ethereum'}]"
kim-da-eum,Kim Da-eum,,https://i.seadn.io/s/raw/files/36359d12177978a63fa39c44f163ecfb.jpg?w=500&auto=format,0xe41bfeb25a6310ab03e9d6b9139b35c639741624,,"[{'address': '0xb9b4bcf0a50b86d34b167d1ee4e771270cfff82c', 'chain': 'ethereum'}]"
visit-illuviumtoken-net-to-claim-rewards-2,Visit illuviumtoken.net to claim rewards,Visit illuviumtoken.net to claim rewards,https://i.seadn.io/s/raw/files/092cd26670f4034dc181b7942e78dc7d.png?w=500&auto=format,0x471e79a4efdc7ebd27c6bd51ebd1a84b10e6da80,,"[{'address': '0x8caa10510f5d15c7b704d47dc2ad62ce446b6e4b', 'chain': 'ethereum'}]"
visit-illuviumtoken-net-to-claim-rewards-1,Visit illuviumtoken.net to claim rewards,Visit illuviumtoken.net to claim rewards,https://i.seadn.io/s/raw/files/092cd26670f4034dc181b7942e78dc7d.png?w=500&auto=format,0x471e79a4efdc7ebd27c6bd51ebd1a84b10e6da80,,"[{'address': '0x27b7eae3013401be0796609112529204af63164b', 'chain': 'ethereum'}]"
